Maturity,Spot (AAA),Spot (All),Forward (AAA),Forward (All),Years,Discount (AAA),Discount (All)
2024-11-03,3.302681,3.400521,3.155215,3.248906,0.25,0.9917772904471991,0.991534731388138
2025-02-02,3.162053,3.259227,2.894136,2.996496,0.5,0.984314061167458,0.9838359286590855
2025-05-04,3.03444,3.13705,2.670163,2.797033,0.75,0.9774987166631998,0.9767467474737808
2025-08-04,2.918898,3.031886,2.479683,2.64268,1.0,0.9712329035283693,0.9701361466138612
2026-08-04,2.560673,2.746567,1.990307,2.353203,2.0,0.95007584569568,0.9465501358547515
2027-08-04,2.334639,2.614014,1.815857,2.379519,3.0,0.9323572987552939,0.924575634732985
2028-08-03,2.204274,2.574612,1.83476,2.547272,4.0,0.9156043316256972,0.9021409746007933
2029-08-03,2.141922,2.590431,1.963066,2.763199,5.0,0.8984393288220349,0.8785156561998614
2030-08-03,2.126758,2.637474,2.143972,2.979922,6.0,0.8802005673816324,0.8536376778773106
2031-08-03,2.143211,2.700684,2.340103,3.17545,7.0,0.8606866569525246,0.8277468732256259
2032-08-02,2.179732,2.770726,2.527847,3.341407,8.0,0.8399788550677536,0.8011892601385907
2033-08-02,2.227849,2.841916,2.693212,3.476381,9.0,0.8183162446017928,0.7743181525840983
2034-08-02,2.281431,2.910886,2.828826,3.582248,10.0,0.7960103426048435,0.747449451062916
2035-08-02,2.336124,2.975736,2.931767,3.662208,11.0,0.7733886000202536,0.72084513263844
2036-08-01,2.388911,3.035484,3.002019,3.719771,12.0,0.7507599490940352,0.6947118803630943
2037-08-01,2.437777,3.089715,3.041374,3.758286,13.0,0.7283955721635917,0.6692062636539615
2038-08-01,2.481451,3.13836,3.052671,3.780747,14.0,0.7065204441856564,0.6444420340874304
2039-08-01,2.519213,3.181554,3.039271,3.789738,15.0,0.6853113969012803,0.6204978743800441
2040-07-31,2.550738,3.219547,3.004705,3.787457,16.0,0.6649003627520705,0.5974244062002886
2041-07-31,2.575983,3.252652,2.952448,3.775755,17.0,0.6453792761284336,0.5752498332158714
2042-07-31,2.595106,3.281203,2.885778,3.756192,18.0,0.6268054459756287,0.5539856251246074
2043-07-31,2.608393,3.305541,2.807694,3.730087,19.0,0.6092085215255199,0.5336298794380864
2044-07-30,2.616219,3.326001,2.72088,3.698556,20.0,0.5925951666808782,0.5141705804517491
2045-07-30,2.619005,3.3429,2.627695,3.662552,21.0,0.5769549741043972,0.4955886653745916
2046-07-30,2.617197,3.356541,2.530175,3.622891,22.0,0.5622642521738721,0.4778592623853122
2047-07-30,2.611243,3.367205,2.430059,3.580276,23.0,0.5484901870206493,0.4609539419402714
2048-07-29,2.601586,3.375153,2.328807,3.535318,24.0,0.535593050723521,0.4448417313346598
2049-07-29,2.58865,3.380629,2.227631,3.488542,25.0,0.5235291852430657,0.4294898156268353
2050-07-29,2.572834,3.383858,2.127521,3.440411,26.0,0.5122528951750689,0.41486459877519694
2051-07-29,2.554515,3.385046,2.029275,3.391323,27.0,0.5017170066599411,0.4009324097988462
2052-07-28,2.534038,3.384384,1.933521,3.341628,28.0,0.4918750097442747,0.3876596480762123
2053-07-28,2.511722,3.382048,1.840744,3.291631,29.0,0.4826809609090719,0.3750132501134792
2054-07-28,2.487856,3.3782,1.751306,3.241594,30.0,0.4740906172148613,0.3629609595319168
